RK,Player Name,Team,Pos,BYE,Trend,Points,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,QB Att/Game,QB YPC
1,Jahmyr Gibbs,DET,RB,6,rising,341.8,1908,4.9,264,74,19,8.1,4.4/5.4,0.0,0.0
2,Bijan Robinson,ATL,RB,11,rising,329.5,2121,4.8,291,79,13,9.3,4.6/5.9,0.0,0.0
3,Puka Nacua,LAR,WR,11,rising,296.9,1694,6.9,14,123,11,13.0,7.2/9.8,0.0,0.0
4,Ja'Marr Chase,CIN,WR,6,rising,259.6,1426,5.1,3,114,10,12.4,6.7/9.9,0.0,0.0
5,Christian McCaffrey,SF,RB,8,down,331.7,1887,4.0,285,82,17,9.0,4.8/6.2,0.0,0.0
6,Jaxon Smith-Njigba,SEA,WR,11,rising,278.2,1652,5.2,5,118,9,13.8,6.9/9.9,0.0,0.0
7,Jonathan Taylor,IND,RB,13,rising,307.4,1886,4.7,329,46,16,7.6,2.7/3.4,0.0,0.0
8,CeeDee Lamb,DAL,WR,14,rising,243.1,1426,6.0,3,105,8,13.4,6.2/9.4,0.0,0.0
9,Amon-Ra St. Brown,DET,WR,6,rising,258.0,1395,5.7,2,117,10,11.8,6.9/9.9,0.0,0.0
10,James Cook III,BUF,RB,7,no change,278.2,1757,4.7,304,37,14,8.6,2.2/2.8,0.0,0.0
11,Justin Jefferson,MIN,WR,6,no change,241.1,1393,4.2,2,108,8,12.9,6.3/9.6,0.0,0.0
12,Saquon Barkley,PHI,RB,10,down,255.2,1632,4.3,305,40,12,8.4,2.4/3.3,0.0,0.0
13,Ashton Jeanty,LV,RB,13,rising,270.0,1682,4.1,278,71,11,7.5,4.2/5.5,0.0,0.0
14,Derrick Henry,BAL,RB,13,down,277.7,1762,4.9,311,23,15,9.8,1.4/1.8,0.0,0.0
15,Drake London,ATL,WR,11,rising,208.8,1193,0.0,N/A,95,7,12.6,5.6/9.1,0.0,0.0
16,Kenneth Walker III,KC,RB,5,rising,253.5,1578,4.4,274,48,12,7.7,2.8/3.4,0.0,0.0
17,Chase Brown,CIN,RB,6,down,250.2,1507,4.4,237,67,11,6.9,3.9/5.0,0.0,0.0
18,Omarion Hampton,LAC,RB,7,rising,253.6,1501,4.3,266,51,13,6.9,3.0/3.6,0.0,0.0
19,Nico Collins,HOU,WR,8,down,219.5,1275,6.5,2,88,8,14.4,5.2/8.3,0.0,0.0
20,George Pickens,DAL,WR,14,rising,215.3,1203,0.0,N/A,82,9,14.7,4.8/7.5,0.0,0.0
21,De'Von Achane,MIA,RB,6,down,268.4,1789,4.9,257,71,9,7.5,4.2/5.5,0.0,0.0
22,A.J. Brown,NE,WR,11,rising,184.4,1063,0.0,N/A,72,7,14.7,4.2/6.5,0.0,0.0
23,Brock Bowers,LV,TE,13,rising,201.9,1089,3.2,5,102,7,10.5,6.0/8.4,0.0,0.0
24,Chris Olave,NO,WR,8,rising,191.8,1078,0.0,N/A,84,7,12.8,4.9/7.9,0.0,0.0
25,Jeremiyah Love,ARI,RB,14,no change,233.6,1496,4.4,236,60,9,7.6,3.5/4.9,0.0,0.0
26,Devonta Smith,PHI,WR,10,rising,199.6,1086,0.0,N/A,86,8,12.6,5.1/7.6,0.0,0.0
27,Kyren Williams,LAR,RB,11,down,228.3,1348,4.6,248,31,13,6.9,1.8/2.5,0.0,0.0
28,Javonte Williams,DAL,RB,14,rising,236.0,1445,4.4,279,39,12,5.9,2.3/3.2,0.0,0.0
29,Josh Allen,BUF,QB,7,rising,389.2,4700,5.1,114,N/A,40,0.0,N/A,31.1,11.7
30,Trey McBride,ARI,TE,14,rising,203.3,1063,0.0,N/A,110,7,9.7,6.5/9.0,0.0,0.0
31,Travis Etienne Jr.,NO,RB,8,down,219.9,1424,4.3,249,47,9,7.7,2.8/3.7,0.0,0.0
32,Tee Higgins,CIN,WR,6,down,195.2,1017,0.0,N/A,79,9,12.9,4.6/7.6,0.0,0.0
33,Josh Jacobs,GB,RB,11,down,252.7,1432,4.1,275,39,15,7.9,2.3/2.9,0.0,0.0
34,Breece Hall,NYJ,RB,13,down,233.8,1593,4.4,262,53,8,8.4,3.1/4.0,0.0,0.0
35,Zay Flowers,BAL,WR,13,rising,216.4,1259,6.1,10,85,8,14.1,5.0/7.4,0.0,0.0
36,Davante Adams,LAR,WR,11,rising,183.3,894,0.0,N/A,68,10,13.2,4.0/7.1,0.0,0.0
37,Rashee Rice,KC,WR,5,no change,221.4,1220,4.7,7,103,8,11.6,6.0/8.8,0.0,0.0
38,Colston Loveland,CHI,TE,10,rising,159.8,858,0.0,N/A,76,6,11.3,4.5/6.5,0.0,0.0
39,Ladd McConkey,LAC,WR,7,down,171.7,930,0.0,N/A,73,7,12.7,4.3/6.6,0.0,0.0
40,Terry Mclaurin,WAS,WR,7,rising,189.3,1074,0.0,N/A,80,7,13.5,4.7/7.1,0.0,0.0
41,Garrett Wilson,NYJ,WR,13,down,190.6,1073,5.2,2,95,6,11.2,5.6/8.7,0.0,0.0
42,Emeka Egbuka,TB,WR,10,rising,168.1,953,5.7,2,62,7,15.3,3.6/6.4,0.0,0.0
43,Luther Burden III,CHI,WR,10,rising,187.3,1058,5.5,7,79,7,12.9,4.6/7.0,0.0,0.0
44,D'Andre Swift,CHI,RB,10,rising,203.0,1332,4.6,229,32,9,9.1,1.9/2.6,0.0,0.0
45,Jaylen Waddle,DEN,WR,10,rising,187.1,1056,5.4,3,79,7,13.1,4.6/7.5,0.0,0.0
46,Tetairoa McMillan,CAR,WR,5,no change,190.0,1095,0.0,N/A,77,7,14.2,4.5/7.5,0.0,0.0
47,Lamar Jackson,BAL,QB,13,rising,329.8,4602,5.5,119,N/A,30,0.0,N/A,28.0,12.7
48,Malik Nabers,NYG,WR,8,down,181.7,1013,0.0,N/A,77,7,13.2,4.8/7.9,0.0,0.0
49,Jameson Williams,DET,WR,6,rising,192.9,1119,6.0,7,66,8,16.3,3.9/6.4,0.0,0.0
50,Mike Evans,SF,WR,8,down,145.9,834,0.0,N/A,53,6,15.7,3.1/5.5,0.0,0.0
51,Cam Skattebo,NYG,RB,8,rising,229.5,1404,4.2,254,46,11,7.6,2.7/3.5,0.0,0.0
52,David Montgomery,HOU,RB,8,rising,190.4,1159,4.3,220,29,10,7.4,1.7/2.2,0.0,0.0
53,DJ Moore,BUF,WR,7,rising,155.8,931,5.2,5,65,5,13.9,3.8/6.0,0.0,0.0
54,Jayden Daniels,WAS,QB,7,rising,333.3,4599,5.1,136,N/A,30,0.0,N/A,31.2,11.0
55,Christian Watson,GB,WR,11,no change,166.3,953,5.9,3,58,7,16.1,3.4/6.0,0.0,0.0
